LocalCouncil_ID,LocalCouncilName,Address Line 1,Address Line 2,Town,County,Postcode,Locality,Telephone.,Fax.,Bypass.,Approximate List Size,Type of Computer System,Computer Used in Consultations,Appointment System,Leaflets,Date of Last Update,TypeofLocalCouncil
2,Orpington,1 Knoll Rise,,Orpington,Kent,BR6 0EH,,01689 824563,01689 820712,01689 834036,4200,9,FALSE,2,TRUE,,3
3,Bromley,,,Bromley,Kent,BR1 4AD,,020 8460 2368,020 8658 7378,01689 822017,2600,4,FALSE,2,TRUE,,4
4,Chislehurst,,,Chislehurst,Kent,BR7 6DB,,020 8467 7419,020 8295 1270,020 8467 0641,4500,9,TRUE,3,TRUE,,3
5,Orpington,123 Towncourt Lane,Petts Wood,Orpington,Kent,BR5 1EL,,01689 821551,01689 818692,,3000,4,FALSE,2,TRUE,,5
6,13 Ravensbourne Road,13 Ravensbourne Road,Dysart House,13 Ravensbourne Road,Bromley,BR1 1HN,,020 8464 0718,020 8466 9248,020 8464 1400,9100,9,TRUE,2,TRUE,,4
7,Beckenham,138 Croydon Road,,Beckenham,Kent,BR3 4DG,,020 8650 0568,020 8650 4172,020 8650 3962,7800,4,TRUE,2,TRUE,,5
8,Beckenham,,,Beckenham,Kent,BR3 2LE,,020 8650 0957,020 8663 6070,020 8663 3424,6270,5,FALSE,2,FALSE,,4
9,Biggin Hill,,,Biggin Hill,Kent,TN16 3XS,,01959 574488,01959 570560,,2100,5,FALSE,4,TRUE,,3
10,Penge,,,Penge,London,SE20 7TY,,020 878 6656,,,,0,FALSE,0,FALSE,,0
11,Beckenham,,,Beckenham,Kent,BR3 6NE,,020 8650 2471,,,,0,FALSE,0,FALSE,,0
12,Anerley,,,Anerley,London,SE20 8BL,,020 8778 5753,020 8776 8505,020 8778 5753,2300,7,TRUE,2,TRUE,,5
13,Beckenham,194 Croydon Road,,Beckenham,Kent,BR3 4DQ,,020 8650 9729,0208 663 6493,020 8650 1274,,0,FALSE,0,FALSE,,0
14,West Wickham,,,West Wickham,Kent,BR4 9PS,,020 8777 1293,020 8776 1977,,4300,4,TRUE,2,TRUE,,2
15,Mottingham,,,Mottingham,London,SE9 4LB,,020 8857 3322,020 8857 6081,,10300,14,TRUE,1,TRUE,,2
16,Penge,,,Penge,London,SE20 8TJ,,020 8659 9343,020 8659 2016,020 8659 9236,2327,0,FALSE,2,TRUE,,5
17,Orpington,,St Mary Cray,Orpington,Kent,BR5 4DU,,01689 820036,01689 819768,01689 838207,5550,9,TRUE,2,TRUE,,4
18,Orpington,,,Orpington,Kent,BR6 9RZ,,01689 855022,01689 860355,,2000,4,FALSE,3,TRUE,,4
19,West Wickham,,,West Wickham,Kent,BR4 0HW,,020 8460 2264,,,,0,FALSE,0,FALSE,,0
20,Orpington,,St Mary Cray,Orpington,Kent,BR5 4AR,,01689 820523,01689 821145,01689 870747,,0,FALSE,2,FALSE,,0
21,West Wickham,,,West Wickham,Kent,BR4 9BW,,020 8462 5771,020 8462 8526,020 8462 1473,8200,5,TRUE,1,TRUE,,5
22,Penge,,,Penge,London,SE20 7TJ,,020 8778 4897,020 8402 1919.,020 8778 5135,6300,9,FALSE,2,TRUE,,4
23,Bromley,,,Bromley,Kent,BR2 8AA,,020 8468 7081,020 8295 3575,020 8467 1211,10600,5,TRUE,2,TRUE,,2
